3, No+AC0-lagromory, Lagromory 20+AC0-3, Lagr20+AC0-3 plus cplex cuts
cont_rand_perc040_015_010_010_002_10_02.lp, 0.914813, 2.073763, 18.481507
cont_rand_perc040_015_010_010_002_10_03.lp, 0.233283, 3.128076, 7.256272
cont_rand_perc040_015_010_010_002_10_04.lp, 2.782438, 2.334107, 9.768281
cont_rand_perc040_015_010_010_002_10_05.lp, 3600.030716, 3600.017602, 3600.006188
cont_rand_perc040_015_010_010_002_10_06.lp, 30.834743, 4.4833, 21.269742
cont_rand_perc040_015_010_010_002_10_07.lp, 0.701411, 1.018824, 11.667045
cont_rand_perc040_015_010_010_002_10_08.lp, 7.897096, 28.980338, 37.044107
cont_rand_perc040_015_010_010_002_10_09.lp, 19.644671, 4.870653, 47.950487
cont_rand_perc040_015_010_010_004_10_00.lp, 0.068909, 0.722201, 11.653004
cont_rand_perc040_015_010_010_004_10_01.lp, 3600.023364, 3600.01859, 3600.009367
cont_rand_perc040_015_010_010_004_10_02.lp, 15.956145, 9.293266, 34.241903
cont_rand_perc040_015_010_010_004_10_03.lp, 19.369842, 11.050961, 24.65049
cont_rand_perc040_015_010_010_004_10_04.lp, 0.534052, 1.363486, 9.608547
cont_rand_perc040_015_010_010_004_10_05.lp, 191.537105, 170.761043, 140.728689
cont_rand_perc040_015_010_010_004_10_06.lp, 5.843564, 1.411614, 28.331088
cont_rand_perc040_015_010_010_004_10_07.lp, 0.32739, 5.928738, 36.251485
cont_rand_perc040_015_010_010_004_10_08.lp, 3600.027182, 3600.021934, 3600.018166
cont_rand_perc040_015_010_010_004_10_09.lp, 3600.038583, 3600.011584, 3600.029709
cont_rand_perc050_015_005_010_001_10_00.lp, 0.248205, 1.318865, 4.375923
cont_rand_perc050_015_005_010_001_10_01.lp, 4.094088, 0.641531, 19.789272
cont_rand_perc050_015_005_010_001_10_02.lp, 262.955809, 11.653303, 20.270853
cont_rand_perc050_015_005_010_001_10_03.lp, 3600.008189, 3600.02156, 3600.012882
cont_rand_perc050_015_005_010_001_10_04.lp, 0.115035, 0.481311, 3.201393
cont_rand_perc050_015_005_010_001_10_05.lp, 0.394181, 3.298923, 10.531678
cont_rand_perc050_015_005_010_001_10_06.lp, 0.033871, 0.727754, 6.066845
cont_rand_perc050_015_005_010_001_10_07.lp, 3600.047616, 3600.01383, 3600.011796
cont_rand_perc050_015_005_010_001_10_08.lp, 2.539779, 1.359917, 8.930215
cont_rand_perc050_015_005_010_001_10_09.lp, 3600.020691, 3600.009588, 3600.003753
cont_rand_perc050_015_005_010_002_10_00.lp, 3600.028774, 3600.021657, 3600.065366
cont_rand_perc050_015_005_010_002_10_01.lp, 1369.853657, 460.001461, 126.32688
cont_rand_perc050_015_005_010_002_10_02.lp, 221.590124, 55.605451, 63.962366
cont_rand_perc050_015_005_010_002_10_03.lp, 42.433295, 3600.023502, 564.651279
